,Date,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,vis_km,vis_miles,uv,gust_mph,gust_kph
0,2024-06-11,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
1,2024-06-12,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
2,2024-06-13,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
3,2024-06-14,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
4,2024-06-15,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
5,2024-06-16,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
6,2024-06-17,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
7,2024-06-18,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
8,2024-06-19,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
9,2024-06-20,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
10,2024-06-21,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
11,2024-06-22,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
